id,job_id,name,status,price,units,created_at,archived,deleted
P1,J1,Phone case - model A,done,25.00,10,2025-01-17T09:00:00.000Z,,
P2,J1,Phone case - model B,in_progress,30.00,8,2025-01-17T09:30:00.000Z,,
P3,J2,Business cards - standard,done,12.00,100,2025-01-19T10:00:00.000Z,,
P4,J3,Custom figurine - dragon,pending,150.00,3,2025-01-22T14:00:00.000Z,,
P5,J3,Custom figurine - phoenix,pending,180.00,2,2025-01-22T14:30:00.000Z,,
P6,J4,Replacement gear - type A,done,12.00,50,2025-02-03T08:00:00.000Z,,
P7,J5,Keychain - logo,pending,1.50,200,2025-02-16T13:00:00.000Z,,
P8,J6,Display stand - small,failed,25.00,4,2025-02-12T11:00:00.000Z,2025-03-15T10:00:00.000Z,2025-03-20T10:00:00.000Z
P9,J1,Phone case - model C,pending,28.00,5,2025-01-25T10:00:00.000Z,,
P10,J8,Sensor housing top,pending,35.00,3,2025-04-09T09:00:00.000Z,,
